OriginalName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	canonicalName	authorship	usageKey	acceptedUsageKey
Sylvia atricapilla	Sylvia atricapilla (Linnaeus, 1758)	2492956	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	Sylvia atricapilla	Sylvia atricapilla	(Linnaeus, 1758) 	2492956	
Talpa europaea	Talpa europaea Linnaeus, 1758	7872906	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Soricomorpha	Talpidae	Talpa	Talpa europaea	Talpa europaea	Linnaeus, 1758	7872906	
Telescopus  fallax	Telescopus fallax Fleischmann, 1831	2457466	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Colubridae	Telescopus	Telescopus fallax	Telescopus fallax	Fleischmann, 1831	2457466	
Testudo	Testudo Linnaeus, 1758	2441658	EXACT	96	ACCEPTED	GENUS	Animalia	Chordata	Testudines		Testudinidae	Testudo		Testudo	Linnaeus, 1758	2441658	
Testudo graeca	Testudo graeca Linnaeus, 1758	2441461	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Testudines		Testudinidae	Testudo	Testudo graeca	Testudo graeca	Linnaeus, 1758	2441461	
Testudo hermanni	Testudo hermanni Gmelin, 1789	2441454	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Testudines		Testudinidae	Testudo	Testudo hermanni	Testudo hermanni	Gmelin, 1789	2441454	
Turdus	Turdus Linnaeus, 1758	2490714	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus		Turdus	Linnaeus, 1758	2490714	
Turdus merula	Turdus merula Linnaeus, 1758	2490719	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus merula	Turdus merula	Linnaeus, 1758	2490719	
Typhlops  vermicularis	Typhlops vermicularis Merrem, 1820	2471324	EXACT	100	SYNONYM	SPECIES	Animalia	Chordata	Squamata		Typhlopidae	Xerotyphlops	Xerotyphlops vermicularis	Typhlops vermicularis	Merrem, 1820	2471324	9624852
Vespertilionidae	Vespertilionidae	9368	EXACT	96	ACCEPTED	FAMILY	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae			Vespertilionidae		9368	
Vipera ammodytes	Vipera ammodytes (Linnaeus, 1758)	2444308	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera ammodytes	Vipera ammodytes	(Linnaeus, 1758) 	2444308	
Vulpes  vulpes	Vulpes vulpes (Linnaeus, 1758)	5219243	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes	Vulpes vulpes	(Linnaeus, 1758) 	5219243	
